win,score_us,score_opp,rounds,map,ban_a_us,ban_a_opp,ban_d_us,ban_d_opp,location_1,location_2,location_3,location_4,location_5,location_6,location_7,location_8,location_9,side_1,side_2,side_3,side_4,side_5,side_6,side_7,side_8,side_9,operator_1,operator_2,operator_3,operator_4,operator_5,operator_6,operator_7,operator_8,operator_9,win_1,win_2,win_3,win_4,win_5,win_6,win_7,win_8,win_9,kill_1,kill_2,kill_3,kill_4,kill_5,kill_6,kill_7,kill_8,kill_9,death_1,death_2,death_3,death_4,death_5,death_6,death_7,death_8,death_9,mihnea_1,mihnea_2,mihnea_3,mihnea_4,mihnea_5,mihnea_6,mihnea_7,mihnea_8,mihnea_9,kill_m_1,kill_m_2,kill_m_3,kill_m_4,kill_m_5,kill_m_6,kill_m_7,kill_m_8,kill_m_9,death_m_1,death_m_2,death_m_3,death_m_4,death_m_5,death_m_6,death_m_7,death_m_8,death_m_9,date
0,0,4,4,Kanal,,,,,1,4,2,1,,,,,,1,1,1,2,,,,,,brava,nomad,nomad,ela,,,,,,0,0,0,0,,,,,,1,1,1,1,,,,,,1,1,1,1,,,,,,blitz,blitz,blitz,mozzie,,,,,,1,0,0,1,,,,,,1,1,0,1,,,,,,7/30/2024
1,4,1,5,Consulate,,,,,1,2,2,1,4,,,,,1,1,1,2,2,,,,,nomad,nomad,nomad,thorn,thorn,,,,,0,1,1,1,1,,,,,1,1,1,0,0,,,,,1,0,0,1,0,,,,,brava,blitz,brava,melusi,melusi,,,,,0,1,1,0,1,,,,,1,1,1,1,1,,,,,7/30/2024
1,4,3,7,Oregon,,,,,1,4,2,1,4,2,1,,,1,1,1,2,2,2,2,,,nomad,ash,nokk,thorn,thorn,thorn,thorn,,,0,1,0,1,0,1,1,,,1,0,1,2,1,0,0,,,1,1,1,0,1,1,1,,,brava,brava,iana,ela,ela,ela,ela,,,0,2,1,2,1,1,0,,,1,0,1,0,1,1,1,,,7/30/2024
1,4,0,4,Kafe,,,,,1,4,2,1,,,,,,2,2,2,1,,,,,,lesion,kaid,aruni,kali,,,,,,1,1,1,1,,,,,,0,0,0,0,,,,,,1,0,1,1,,,,,,caveira,caveira,doc,buck,,,,,,2,0,0,0,,,,,,0,1,1,1,,,,,,7/30/2024
0,1,4,5,Villa,,,,,1,2,3,1,1,,,,,1,1,1,2,2,,,,,glaz,sledge,sledge,azami,doc,,,,,0,0,1,0,0,,,,,1,0,0,0,1,,,,,1,1,0,1,1,,,,,twitch,twitch,osa,kapkan,bandit,,,,,1,0,3,0,0,,,,,1,1,1,1,1,,,,,7/30/2024
0,2,4,6,Skyscraper,,,,,1,2,3,1,1,2,,,,1,1,1,2,2,2,,,,blackbeard,deimos,striker,oryx,solis,castle,,,,0,0,1,0,1,0,,,,1,0,4,0,2,1,,,,1,1,0,1,0,1,,,,nokk,ram,ace,kapkan,kapkan,alibi,,,,0,0,0,2,1,2,,,,1,1,1,1,0,1,,,,7/30/2024
0,0,4,4,Kanal,,,,,1,4,2,1,,,,,,1,1,1,2,,,,,,dokkaebi,finka,glaz,mira,,,,,,0,0,0,0,,,,,,0,0,3,0,,,,,,1,1,1,1,,,,,,nomad,nokk,jackal,castle,,,,,,1,0,0,0,,,,,,1,1,1,1,,,,,,7/30/2024
1,4,0,4,Border,,,,,1,1,3,1,,,,,,1,1,1,2,,,,,,ace,osa,lion,fenrir,,,,,,1,1,1,1,,,,,,0,0,0,2,,,,,,0,0,0,0,,,,,,nokk,ram,capitao,wamai,,,,,,3,1,1,1,,,,,,0,0,0,1,,,,,,7/30/2024
1,4,3,7,Chalet,,,,,1,4,4,1,4,1,1,,,2,2,2,1,1,1,2,,,thunderbird,melusi,thorn,nomad,nomad,nomad,thorn,,,1,0,0,1,0,1,1,,,0,0,2,2,2,1,1,,,1,0,1,1,1,1,1,,,pulse,goyo,mira,ace,ace,ace,castle,,,1,0,0,1,1,0,0,,,0,0,1,1,1,1,1,,,7/30/2024
0,1,4,5,Skyscraper,,,,,1,2,4,2,1,,,,,1,1,1,2,2,,,,,sledge,iana,amaru,kaid,maestro,,,,,0,1,0,0,0,,,,,1,1,0,1,2,,,,,1,0,1,1,1,,,,,ace,nokk,ash,vigil,lesion,,,,,0,3,2,0,0,,,,,1,0,1,1,0,,,,,7/30/2024
0,3,4,7,Consulate,,,,,1,4,2,1,4,2,1,,,2,2,2,1,1,1,1,,,lesion,lesion,lesion,brava,brava,brava,brava,,,1,1,0,0,0,1,0,,,4,1,0,0,0,4,2,,,0,0,1,1,1,0,1,,,echo,echo,doc,finka,finka,finka,finka,,,0,0,0,0,0,0,0,,,0,0,1,1,1,1,1,,,7/30/2024
1,4,3,7,Theme Park,,,,,1,1,2,1,3,2,3,,,2,2,2,1,1,1,1,,,castle,thunderbird,thorn,nomad,nomad,nomad,ash,,,0,1,1,1,0,0,1,,,0,0,1,0,0,0,0,,,1,1,0,1,1,1,1,,,doc,doc,doc,finka,ying,amaru,amaru,,,0,0,0,3,0,0,2,,,1,1,1,1,1,1,0,,,7/30/2024
1,4,2,6,Villa,,,,,1,1,2,1,2,2,,,,1,1,1,2,2,2,,,,ash,ash,ash,thorn,caveira,caveira,,,,1,0,1,1,0,1,,,,1,0,0,1,0,0,,,,0,1,0,1,1,0,,,,amaru,amaru,amaru,mute,smoke,mute,,,,0,0,0,2,0,1,,,,1,1,1,0,1,0,,,,7/30/2024
0,0,4,4,Skyscraper,,,,,1,2,4,1,,,,,,1,1,1,2,,,,,,nomad,nomad,nomad,thorn,,,,,,0,0,0,0,,,,,,0,0,3,0,,,,,,1,1,1,1,,,,,,amaru,amaru,amaru,mute,,,,,,0,0,1,0,,,,,,1,1,1,1,,,,,,7/30/2024
1,4,1,5,Villa,,,,,1,1,2,1,1,,,,,2,2,2,1,1,,,,,mute,bandit,echo,finka,finka,,,,,0,1,1,1,1,,,,,0,0,0,0,0,,,,,1,1,0,1,1,,,,,tachanka,goyo,goyo,capitao,capitao,,,,,0,2,1,1,1,,,,,1,1,0,1,0,,,,,7/30/2024
0,1,4,5,Kafe,,,,,1,1,2,1,4,,,,,2,2,2,1,1,,,,,echo,echo,echo,amaru,amaru,,,,,0,1,0,0,0,,,,,1,2,0,1,0,,,,,1,0,1,1,1,,,,,mute,frost,mute,ram,ram,,,,,0,2,0,0,0,,,,,1,1,1,1,1,,,,,7/30/2024
1,4,1,5,Skyscraper,,,,,1,2,4,1,2,,,,,2,2,2,1,1,,,,,echo,echo,echo,amaru,amaru,,,,,1,1,0,1,1,,,,,0,0,0,0,1,,,,,0,1,1,1,1,,,,,solis,sentry,doc,ash,ram,,,,,1,1,1,2,1,,,,,1,1,1,0,0,,,,,7/30/2024
1,4,3,7,Coastline,,,,,1,2,2,1,2,3,1,,,1,1,1,2,2,2,2,,,buck,gridlock,maverick,azami,fenrir,kapkan,alibi,,,0,1,0,1,0,1,1,,,2,0,1,1,1,0,0,,,1,0,1,0,1,0,1,,,nomad,iana,hibana,mira,tubarao,tubarao,vigil,,,0,0,0,0,0,3,0,,,1,0,1,1,1,0,1,,,7/30/2024
